"Origin","Dest","2010","2011","2012","2013","2014","five_year_avg","state_rank","growth_rate","share","lq"
279,133,2148342,1038091,477501,3052253,1066684,1556574.2,133,-13.07,0,1.04
287,133,5286689,535600,279372,211662,248703,1312405.2,161,-45.74,0,0.08
268,133,1514912,730760,305768,887903,831973,854263.2,159,-11.3,0,0.71
282,133,3244019,6144148,6746495,25981371,14367907,11296788,134,34.67,0.01,1.41
270,133,7879328,9087511,6619659,7272054,7799523,7731615,122,-0.2,0.01,2.76
253,133,882920,1580614,3013205,1142332,9631,1325740.4,185,-59.49,0,0.02
275,133,33572,89314,32000,12582,380066,109506.8,125,62.47,0,0.54
246,133,1325546,766150,1774967,764201,269120,979996.8,109,-27.3,0.01,1.46
277,133,347195,213359,0,0,6000,113310.8,136,-55.59,0,0.01
243,133,3772473,3034225,2639073,1376670,1667198,2497927.8,176,-15.07,0,0.27
252,133,334195,608551,1083312,893741,58802,595720.2,176,-29.36,0,0.06
283,133,110256,219983,316309,330371,202290,235841.8,145,12.91,0,0.47
286,133,1328179,1718208,1244302,5479918,806412,2115403.8,152,-9.5,0.01,1.31
244,73,2931217,1905235,1852638,4335774,2055082,2615989.2,78,-6.86,0.03,0.15
270,73,137775478,42100872,139741509,27756291,126082332,94691296.4,46,-1.76,0.18,0.87
265,73,1416308,1790668,3297552,13393670,7008310,5381301.6,49,37.69,0.12,0.6
251,73,23173825,32636433,51756578,79671587,82519217,53951528,53,28.92,0.18,0.88
260,73,9688339,5492624,3095614,46580574,14864755,15944381.2,69,8.94,0.05,0.24
254,73,59230676,9520882,14759221,505930,1147549,17032851.6,113,-54.56,0.01,0.06
245,73,321470,100028610,163089441,193273726,387796214,168901892.2,10,313.33,2.77,13.55
241,73,2561549,127683,1289852,5934129,707730,2124188.6,122,-22.68,0,0.02
275,73,172221,4717553,90468,531701,315575,1165503.6,131,12.88,0,0.01
266,73,1578769,20739364,881073,243492,1789862,5046512,71,2.54,0.03,0.14
279,73,8530747,2614031,34233020,115059412,1067465316,245580505.2,5,162.71,4.11,20.11
112,73,33947194,109324416,54634677,65707771,56163069,63955425.4,77,10.59,0.17,0.84
247,73,62790,0,170836,67723,452280,150725.8,61,48.42,0.05,0.24
248,73,15135248,12405030,10856322,30301827,10394895,15818664.4,125,-7.24,0.02,0.09
280,73,125598,0,0,150460,1717254,398662.4,49,68.72,0.2,0.96
269,73,1062900,0,370801,9831736,4377643,3128616,34,32.72,0.12,0.6
290,73,0,1310857,115028,6462,12871,289043.6,85,NA,0,0.01
288,73,113673,6165,36606,240974,156340,110751.6,93,6.58,0,0.01
250,73,834092,1376319,1004502,947701,3691171,1570757,45,34.64,0.1,0.49
276,73,30448104,43734911,23171856,80156371,18073702,39116988.8,82,-9.91,0.06,0.32
271,73,22009119,7930848,10286918,9426983,17119039,13354581.4,76,-4.9,0.07,0.34
284,73,125612,38288,178501,59892,201669,120792.4,78,9.93,0.01,0.05
239,73,3772352,5839817,4729564,6725642,10303318,6274138.6,71,22.26,0.07,0.33
268,73,5996400,24067561,11304989,174464148,26750393,48516698.2,82,34.86,0.09,0.44
272,73,12183905,275534,47899,275643,11577151,4872026.4,24,-1.02,1.01,4.96
256,73,99051862,113615437,63261750,30703085,64957926,74318012,70,-8.09,0.11,0.52
253,73,4054798,4326839,354099,1176010,7647924,3511934,66,13.53,0.07,0.36
281,73,3878019,4617284,3706897,6033691,5004728,4648123.8,93,5.23,0.02,0.1
258,73,12386988,15487438,7395780,23165637,83169000,28320968.6,31,46.35,0.8,3.94
274,73,8628608,7201321,12181997,28942424,10420153,13474900.6,54,3.85,0.23,1.15
286,73,5058540,8807043,4120233,5338536,7947344,6254339.2,101,9.46,0.05,0.25
242,73,5824538,4211621,1589390,254801,275231,2431116.2,116,-45.69,0.01,0.02
283,73,221224,730826,845420,729242,726130,650568.4,104,26.83,0.01,0.03
262,73,268605,1847396,601738,382209,782063,776402.2,101,23.83,0.01,0.04
282,73,317626235,442091538,364252354,594736514,293697579,402480844,62,-1.55,0.11,0.56
267,73,65436,151756,339500,204763,1494327,451156.4,74,86.95,0.04,0.2
287,73,147756674,410597261,8636231,6111866,8967983,116414003,81,-42.9,0.01,0.05
259,73,2517871,4032527,4048163,4443236,5034515,4015262.4,84,14.86,0.02,0.1
246,73,111901,0,27652,1119030,360113,323739.2,100,26.33,0.01,0.04
277,73,0,68866,425548,0,8982,100679.2,131,NA,0,0
263,73,4978909,841651,971206,2068705,3971122,2566318.6,81,-4.42,0.04,0.21
273,73,47247707,24288073,12650851,4136839,26561368,22976967.6,67,-10.88,0.08,0.41
289,73,49526535,27383605,42116961,59927276,53776163,46546108,43,1.66,0.35,1.7
243,73,74760669,80940553,286596713,189087986,141927673,154662718.8,62,13.68,0.09,0.45
257,73,2034709,182356,10650,128069,3949,471946.6,172,-71.32,0,0
252,73,25770949,11404117,12740172,8970113,10978526,13972775.4,69,-15.69,0.05,0.23
