"Origin","Dest","2010","2011","2012","2013","2014","five_year_avg","state_rank","growth_rate","share","lq"
284,15,2158119,2860244,5305723,7070536,3649403,4208805,33,11.08,0.18,0.12
251,15,306460297,455198116,403069798,448009862,505089547,423565524,21,10.51,1.09,0.71
253,15,46679149,58330344,59244508,67969918,309288295,108302442.8,10,45.96,2.95,1.92
256,15,727548532,893578146,1415368724,1865116457,2841580492,1548638470.2,5,31.32,4.62,3
248,15,2522160564,2850546193,3102074303,3306192877,3123166971,2980828181.6,2,4.37,5.73,3.73
255,15,67317199,78679419,85233645,145205917,128543514,100995938.8,21,13.81,0.64,0.42
250,15,6531225,3487567,5687001,17576225,6005347,7857473,35,-1.66,0.16,0.1
267,15,32294792,29043110,14314288,32915381,30409307,27795375.6,25,-1.2,0.84,0.54
259,15,72822601,82895946,89765398,97468904,77744779,84139525.6,33,1.32,0.33,0.21
279,182,0,0,0,104123,289896,78803.8,154,NA,0,4.15
286,182,37107,200530,18944,2996,69600,65835.4,193,13.4,0,1.66
271,182,17600,17600,17600,13200,134929,40185.8,183,50.29,0,2.04
257,182,0,0,4488,0,3306,1558.8,174,NA,0,1
270,182,531674,5363,13916,20775,2600,114865.6,222,-65.5,0,0.01
239,182,80000,0,0,0,50307,26061.4,180,-8.86,0,1.23
112,182,230526,395604,304411,668747,208896,361636.8,190,-1.95,0,2.37
282,182,91015,14445,0,78880,13508,39569.6,220,-31.72,0,0.02
276,182,0,0,12250,7951,9292,5898.6,206,NA,0,0.12
248,182,46835,107050,54475,2328765,2541953,1015815.6,162,122.29,0,17.38
281,182,0,0,394291,33843,102859,106198.6,181,NA,0,1.61
243,182,0,313236,0,6425,9030,65738.2,227,NA,0,0.02
282,118,150796186,118251936,122061704,119605365,128499950,127843028.2,87,-3.15,0.05,2.04
275,118,19750,60779,0,165743,75986,64451.6,161,30.93,0,0.02
112,118,8129129,5749384,10969357,10504674,26676453,12405799.4,90,26.83,0.08,3.31
283,118,11600,44042,147301,39999,70300,62648.4,165,43.38,0,0.03
273,118,614066,502931,1362122,498127,710451,737539.4,151,2.96,0,0.09
262,118,213792,5004784,7786752,14000,1202420,2844349.6,94,41.26,0.01,0.51
268,118,3477661,3326475,3079590,1900885,1858192,2728560.6,141,-11.78,0.01,0.26
239,118,5782192,626134,9692723,4170542,1464907,4347299.6,116,-24.01,0.01,0.39
272,118,89615,0,721606,0,270824,216409,88,24.76,0.02,0.97
281,118,949906,1714224,3314577,2696575,2434604,2221977.2,110,20.71,0.01,0.42
248,118,8509403,6965567,3497421,3189376,3628740,5158101.4,149,-15.67,0.01,0.27
267,118,298866,13611,7765,79921,13500,82732.6,162,-46.18,0,0.02
279,118,125120,575467,535649,1550609,2480320,1053433,111,81.73,0.01,0.39
252,118,218555,176060,546054,501772,749395,438367.2,122,27.95,0,0.13
255,118,368469,109546,184531,360020,462257,296964.6,123,4.64,0,0.09
289,118,268852,331155,2597914,2348039,1217099,1352611.8,126,35.26,0.01,0.32
253,118,79358,26569,789944,1365879,472219,546793.8,118,42.86,0,0.18
287,118,124938,428380,63728,164449,142758,184850.6,175,2.7,0,0.01
256,118,21622290,6835909,7643145,8528255,23059965,13537912.8,89,1.3,0.04,1.53
247,118,51842,23192,121427,25498,56968,55785.4,128,1.9,0.01,0.25
274,118,9369205,13261103,7120403,4752622,7331112,8366889,59,-4.79,0.16,6.72
286,118,2199001,2007157,2474243,2878056,4251568,2762005,109,14.09,0.03,1.11
254,118,570087,104370,120120,8938035,6344020,3215326.4,72,61.91,0.07,2.73
284,118,0,75229,23866,60400,71995,46298,102,NA,0,0.14
242,118,7431536,20529142,13805396,10672495,52995053,21086724.4,27,48.13,0.97,39.78
257,118,924512,48875,74044,178700,45074,254241,143,-45.35,0,0.15
245,118,117200,12746680,426740,732752,613731,2927420.6,120,39.25,0,0.18
271,118,1119354,431151,696690,1902919,1474628,1124948.4,137,5.67,0.01,0.24
270,118,3982108,2825370,4451087,9696176,3907005,4972349.2,142,-0.38,0.01,0.22
250,118,844910,70800,123946,361563,20575,284358.8,140,-52.43,0,0.02
261,118,289634,1403126,165552,1046512,348306,650626,154,3.76,0,0.09
240,118,3162,10466,0,60900,117666,38438.8,69,106.13,0,0.1
251,118,934565,755588,1839201,5130210,14299471,4591807,90,72.56,0.03,1.26
246,118,503765,2358208,1874386,0,161212,979514.2,115,-20.38,0,0.14
290,118,12195,0,24877,0,12058,9826,86,-0.23,0,0.05
241,118,722439,1238913,1183390,429144,1536043,1021985.8,93,16.28,0.01,0.33
280,118,0,17565,163296,18305,563252,152483.6,68,NA,0.06,2.62
260,118,1786728,2968808,1025414,1107516,1040266,1585746.4,130,-10.25,0,0.14
244,118,33595,607856,1836631,1047854,583769,821941,118,77.01,0.01,0.36
266,118,150000,91502,18222,110794,61195,86342.6,139,-16.42,0,0.04
263,118,471032,1795602,129683,325920,47057,553858.8,175,-36.92,0,0.02
276,118,1309698,839331,2102546,3739170,6066525,2811454,110,35.88,0.02,0.88
243,118,5840669,3188648,12123155,3285843,14844442,7856551.4,117,20.51,0.01,0.39
258,118,1521986,2024714,1581726,959347,1018837,1421322,131,-7.71,0.01,0.4
265,118,187005,130724,36000,57985,84082,99159.2,143,-14.77,0,0.06
259,118,4505642,50213,467303,103418,248127,1074940.6,159,-44,0,0.04
281,39,69958940,62155026,61550136,65185251,70566293,65883129.2,41,0.17,0.3,0.57
258,39,17152191,20398068,27515502,19951020,28306303,22664616.8,46,10.54,0.27,0.52
286,39,15169957,18656285,24502689,23854863,23466327,21130024.2,67,9.12,0.15,0.29
276,39,48943620,46862191,47915166,50410881,70469473,52920266.2,50,7.56,0.25,0.48
250,39,1176635,1207413,1665966,2139900,1779164,1593815.6,59,8.62,0.05,0.09
270,39,76803474,85806446,69000411,88235216,81280935,80225296.4,56,1.14,0.11,0.22
112,39,156204171,142000227,148873463,150190798,224855134,164424758.6,35,7.56,0.68,1.3
274,39,6008936,6389440,9669462,6892656,5322874,6856673.6,67,-2.4,0.12,0.23
265,39,4597233,5547479,3918854,3997233,4448512,4501862.2,61,-0.66,0.08,0.15
255,39,37042797,34549399,29716981,27691368,30493657,31898840.4,47,-3.82,0.15,0.29
253,39,17582049,33871200,25670485,14619099,34832402,25315047,42,14.65,0.33,0.63
247,39,309365,210393,87482,193860,1021629,364545.8,37,26.99,0.11,0.21
272,39,3913162,5527167,4795433,3019960,10676918,5586528,26,22.23,0.93,1.78
283,39,17128940,17930176,26035919,34304399,15616838,22203254.4,45,-1.83,0.14,0.27
248,39,898367668,1058451739,1082716144,1125030556,1152720981,1063457417.6,17,5.11,2.12,4.04
288,39,631317,1404279,1366024,1347965,2352530,1420423,55,30.09,0.04,0.08
269,39,360756,713625,564879,1216738,580096,687218.8,65,9.97,0.02,0.03
242,39,15573834,18141066,19389601,13018349,20476191,17319808.2,49,5.63,0.38,0.72
264,39,2287181,2185508,2750772,2252436,3634692,2622117.8,31,9.71,0.37,0.71
241,39,14855643,18671105,22384563,20582601,18137318,18926246,49,4.07,0.1,0.18
266,39,2277292,3472214,3676838,2596875,6010894,3606822.6,49,21.42,0.09,0.18
260,39,35179650,51288105,70451610,43327744,35008694,47051160.6,54,-0.1,0.12,0.22
252,39,53307998,61687749,78108395,123943509,104218506,84253231.4,31,14.35,0.45,0.86
246,39,56655997,66797994,57331719,56147998,70085079,61403757.4,16,4.35,1.51,2.88
251,39,157372198,168722237,178973000,157709299,172910544,167137455.6,39,1.9,0.37,0.71
262,39,90571017,115673340,88563226,66596424,46520222,81584845.8,31,-12.48,0.48,0.92
245,39,27443432,24435713,49656317,21863666,27560628,30191951.2,41,0.09,0.2,0.38
259,39,159319808,118142010,103363789,108017995,123075818,122383884,29,-5.03,0.52,0.99
244,39,4702631,8071188,10408504,10124783,10429199,8747261,51,17.27,0.16,0.3
285,39,435453,8786,7375,1213823,26666,338420.6,56,-42.8,0,0
273,39,54444479,64803011,72242580,73613787,68130833,66646938,48,4.59,0.22,0.41
256,39,379537537,539249461,402694736,412314048,602029188,467164994,29,9.67,0.98,1.87
243,39,340740573,388553834,404130718,391852645,390144472,383084448.4,42,2.74,0.25,0.48
239,39,15450091,18178827,50609538,28741795,47059283,32007906.8,37,24.95,0.31,0.59
280,39,480645,523126,1872623,1231286,519886,925513.2,71,1.58,0.06,0.11
279,39,32639141,45125843,39329249,45291883,43752579,41227739,58,6.04,0.17,0.32
282,39,1077530556,1683275561,2387672713,2332252358,2055691102,1907284458,25,13.79,0.8,1.53
290,39,3643480,4297183,4028600,2861818,4050572,3776330.6,33,2.14,0.39,0.75
257,39,1626515,2076654,3706588,4369715,3497704,3055435.2,42,16.55,0.28,0.54
249,39,22401994,119812,35142,36143,19998947,8518407.6,9,-2.24,1.41,2.69
275,39,505339384,499546153,798265319,865320973,310596658,595813697.4,14,-9.28,1.75,3.33
289,39,38248836,40878737,45399104,50899128,67517652,48588691.4,40,12.04,0.44,0.83
261,39,59165308,52024336,63586775,68067800,89061825,66381208.8,31,8.52,0.56,1.08
277,39,38102371,27631894,41600357,24519820,24001780,31171244.4,40,-8.83,0.12,0.24
254,39,17094320,8897216,10115442,9257384,20265294,13125931.2,50,3.46,0.21,0.41
278,39,24279697,18771537,22642253,22308572,22262578,22052927.4,23,-1.72,1.18,2.25
271,39,120530998,108097654,90533411,98737257,93759294,102331722.8,44,-4.9,0.38,0.73
263,39,17405698,21654959,16040131,14927012,18903018,17786163.6,54,1.66,0.2,0.38
287,39,62095503,29587084,150352726,151488806,319653052,142635434.2,40,38.78,0.39,0.75
268,39,120123583,90429646,82918900,90396774,87885336,94350847.8,48,-6.06,0.3,0.57
284,39,2707357,2798335,2755872,5434742,6035333,3946327.8,27,17.39,0.3,0.57
267,39,8878014,16321598,20470361,15289903,20045863,16201147.8,35,17.69,0.55,1.05
270,137,7050080,6504137,12321352,10744420,25502246,12424447,90,29.32,0.04,1.94
259,137,1279870,240781,635200,444458,981988,716459.4,125,-5.16,0,0.23
275,137,202360,131039,1240462,146221,614001,466816.6,117,24.86,0,0.19
274,137,1563452,1144867,321082,1555922,1316639,1180392.4,93,-3.38,0.03,1.61
243,137,6607853,2331665,5598680,4205879,7079538,5164723,137,1.39,0,0.25
257,137,132101,170168,147893,189970,53288,138684,141,-16.6,0,0.23
271,137,1316743,1218012,1138263,1616384,1248606,1307601.6,144,-1.06,0.01,0.28
278,137,7000,0,0,5000,39000,10200,131,40.99,0,0.11
279,137,1340483,301266,8836973,6270317,6355447,4620897.2,93,36.51,0.02,1.33
287,137,6875924,855631,188659,351729,622647,1778918,136,-38.14,0,0.04
286,137,598782,1017842,1666077,1429478,1206003,1183636.4,144,15.03,0.01,0.42
254,137,732169,268942,339997,2725479,766128,966543,122,0.91,0.01,0.44
266,137,82431,53952,95098,348445,416374,199260,105,38.25,0.01,0.35
273,137,1140254,905548,1007718,2246025,930748,1246058.6,140,-3.98,0,0.16
283,137,412432,2261749,1440005,223006,771491,1021736.6,102,13.34,0.01,0.39
277,137,0,0,165070,0,40671,41148.2,115,NA,0,0.01
245,137,371887,81951,151662,243937,201258,210139,140,-11.56,0,0.08
280,137,3318,0,0,0,26481,5959.8,116,51.5,0,0.16
244,137,218261,294258,479532,757582,237493,397425.2,144,1.7,0,0.19
260,137,2232038,1585394,1768198,829441,953052,1473624.6,133,-15.65,0,0.17
255,137,121494,230576,376386,479886,862944,414257.2,108,48.01,0,0.23
258,137,2037727,1052378,2015215,2990775,2036498,2026518.6,115,-0.01,0.02,1.07
112,137,9805836,9854276,11176704,15819104,16143229,12559829.8,101,10.48,0.05,2.67
252,137,1375500,152489,459917,461814,485368,587017.6,134,-18.81,0,0.11
247,137,104010,38232,32871,146015,602112,184648,50,42.08,0.06,3.51
239,137,297711,984277,347346,102674,534451,453291.8,135,12.41,0,0.19
276,137,2276904,1071646,9369551,3000545,2225721,3588873.4,130,-0.45,0.01,0.43
256,137,16165095,5024225,7996753,5246953,42407012,15368007.6,77,21.28,0.07,3.75
242,137,4000,0,39663,107096,131179,56387.6,126,100.98,0,0.13
263,137,1963090,3559391,5641621,585829,313815,2412749.2,135,-30.7,0,0.18
267,137,78081,1017780,60403,22000,236208,282894.4,105,24.78,0.01,0.35
281,137,2628606,2907203,2139184,2355879,3825048,2771184,99,7.79,0.02,0.87
289,137,850167,444632,614881,771388,600565,656326.6,146,-6.72,0,0.21
253,137,265387,944336,595598,3517707,1553425,1375290.6,89,42.39,0.01,0.81
288,137,0,0,144655,0,24246,33780.2,122,NA,0,0.02
250,137,0,520049,23600,64315,113016,144196,107,NA,0,0.16
251,137,2322910,1955741,3065378,4491198,8225503,4012146,107,28.77,0.02,0.97
268,137,7200939,7262460,17748545,10562132,6062522,9767319.6,113,-3.38,0.02,1.11
248,137,3469325,1754767,4502625,3276229,11136249,4827839,120,26.27,0.02,1.11
241,137,5142527,1520220,4557309,6395555,2304197,3983961.6,82,-14.83,0.01,0.66
284,137,0,0,0,7753,2610,2072.6,153,NA,0,0.01
262,137,330577,63441,63009,67433,130789,131049.8,137,-16.93,0,0.07
282,137,70121044,67940819,74987759,68494282,83845181,73077817,97,3.64,0.03,1.77
265,137,255376,1128190,1236371,987032,1950339,1111461.6,80,50.17,0.03,1.86
261,137,898495,213360,505325,545764,469574,526503.6,148,-12.17,0,0.16
270,51,69513228,141123161,21935275,46254570,85749470,72915140.8,54,4.29,0.12,4.62
254,51,3720164,167332,206391,354361,313306,952310.8,144,-39.03,0,0.13
250,51,16511,26574,22085,51817,134996,50396.6,105,52.23,0,0.14
284,51,4098,66208,178239,0,146962,79101.4,86,104.61,0.01,0.28
266,51,815133,1353093,1893140,5238491,1890127,2237996.8,69,18.32,0.03,1.13
283,51,2381128,3441939,2930384,2325131,2858665,2787449.4,74,3.72,0.03,1.01
261,51,2044130,2452789,1883021,2475159,3655489,2502117.6,87,12.33,0.02,0.89
243,51,19070414,21290975,22288190,21383144,28745933,22555731.2,100,8.55,0.02,0.71
277,51,1191588,589097,36326,209845,213966,448164.4,99,-29.07,0,0.04
279,51,4781402,3580852,3333549,3126080,5350318,4034440.2,100,2.27,0.02,0.79
269,51,95494,75074,118118,488758,487956,253080,69,38.57,0.01,0.53
248,51,4640192,3773855,9321356,4754749,2183398,4934710,166,-14,0,0.15
242,51,703366,93410,39439,0,99692,187181.4,130,-32.35,0,0.07
252,51,2303778,6451868,1825206,769899,4706849,3211520,82,15.36,0.02,0.78
286,51,4420807,4600454,5387326,3107654,3540721,4211392.4,116,-4.34,0.02,0.87
256,51,28104329,87430973,36314466,23870151,301615,35204306.8,161,-59.62,0,0.02
255,51,684263,1923150,3039170,4753212,2401498,2560258.6,89,28.54,0.01,0.46
290,51,2645,6083,31387,45308,2821,17648.8,102,1.3,0,0.01
278,51,862002,1577199,115768,75189,11550,528341.6,151,-57.79,0,0.02
262,51,3283417,364494,205994,569382,466298,977917,111,-32.32,0,0.19
251,51,15661843,25394590,34311415,31509856,19526495,25280839.8,86,4.51,0.04,1.63
258,51,430371,1005563,1052790,1643763,1639789,1154455.2,121,30.67,0.02,0.61
271,51,4307171,2363324,1911367,368675,380748,1866257,168,-38.44,0,0.06
241,51,362365,1492228,1245522,1144319,1534336,1155754,94,33.46,0.01,0.31
263,51,1998398,11872907,2175574,2572098,40671175,11858030.4,35,82.69,0.43,16.61
245,51,519761,1691884,1376706,383306,457992,885929.8,126,-2.5,0,0.13
239,51,975286,1076437,4344542,21473605,30252047,11624383.4,49,98.76,0.2,7.66
274,51,639123,950803,1246146,1204680,558282,919806.8,110,-2.67,0.01,0.48
281,51,7862872,8204168,7067665,4232640,5135636,6500596.2,92,-8.17,0.02,0.83
273,51,2419406,2877326,1614220,1254275,2840655,2201176.4,110,3.26,0.01,0.35
267,51,97444,111534,499406,353033,41731,220629.6,142,-15.6,0,0.04
287,51,1725075,21043319,1415602,1319875,1130282,5326830.6,119,-8.11,0,0.05
260,51,1061464,1474693,2309080,1466456,3751097,2012558,93,28.72,0.01,0.48
253,51,1690979,1647937,4335581,2031376,2257068,2392588.2,81,5.95,0.02,0.83
268,51,3285786,4431760,2760954,1654617,1229776,2672578.6,149,-17.84,0,0.16
265,51,161301,82491,471443,805948,593587,422954,102,29.77,0.01,0.4
112,51,4580306,8360083,5771403,3900264,2753516,5073114.4,155,-9.68,0.01,0.32
257,51,36603,69466,52829,290841,61040,102155.8,135,10.77,0,0.19
288,51,81824634,77397271,75105954,67768343,44349888,69289218,24,-11.53,0.8,30.92
246,51,65379,134059,100652,61838,116160,95617.6,121,12.18,0,0.1
289,51,5301294,5268731,4327234,4502693,4207988,4721588,96,-4.51,0.03,1.05
264,51,754800,1085000,222444,715298,350716,625651.6,64,-14.21,0.04,1.37
247,51,11674,20728,14715,83700,58871,37937.6,126,38.21,0.01,0.24
282,51,7145560,18385940,27846928,18148821,13288750,16963199.8,137,13.21,0.01,0.2
259,51,2765595,7215165,2175535,4156188,2748067,3812110,99,-0.13,0.01,0.45
276,51,8603231,11401664,6750087,6906390,7422492,8216772.8,103,-2.91,0.03,1.02
244,51,648160,1009604,909528,1467295,1025144,1011946.2,99,9.6,0.02,0.59
275,51,1243937,4252653,1302669,1203738,1326558,1865911,95,1.29,0.01,0.29
286,47,32421674,64529603,66368264,38485627,24963501,45353733.8,64,-5.09,0.16,6.86
246,47,396375,0,1343287,6332860,493848,1713274,95,4.5,0.01,0.46
239,47,3796624,8785372,41861494,27415608,32887647,22949349,45,54,0.22,9.27
270,47,3000,60000,0,0,112915,35183,195,106.6,0,0.01
268,47,0,147408,1312093,293077,716502,493816,165,NA,0,0.1
279,47,819278,1956233,1644232,191100,5446731,2011514.8,99,46.06,0.02,0.9
244,47,0,0,0,0,4200,840,202,NA,0,0
112,47,61413558,16816178,36411678,27571787,64846141,41411868.4,71,1.09,0.2,8.44
289,47,1318445,1533831,1608535,70790,46048,915529.8,186,-48.88,0,0.01
262,47,18616220,17895059,21855136,53712227,19233492,26262426.8,52,0.65,0.2,8.56
276,47,115807,4875,0,317901,75704,102857.4,190,-8.15,0,0.01
261,47,1082993,0,0,322819,166700,314502.4,169,-31.22,0,0.05
243,47,684412,2248131,550756,122160,675025,856096.8,196,-0.28,0,0.02
283,47,0,0,0,29346,96480,25165.2,160,NA,0,0.04
245,47,56632233,36078170,9398,23182,23162,18553229,181,-78.99,0,0.01
273,47,0,0,0,1537910,201100,347802,180,NA,0,0.03
282,47,1511379,6709124,124730,105495,131327,1716411,202,-38.65,0,0
271,47,12455722,10840205,12859470,248430,9816876,9244140.6,87,-4.65,0.04,1.71
259,47,0,0,0,0,869947,173989.4,127,NA,0,0.16
263,47,22422,0,80966,4682325,18188,960780.2,183,-4.1,0,0.01
252,47,0,86000,0,253143,11415,70111.6,193,NA,0,0
253,47,0,14964972,26313527,7074021,1907294,10051962.8,82,NA,0.02,0.78
256,47,120065381,112289534,176451778,144899669,88770998,128495472,62,-5.86,0.14,6.18
281,47,202585,12257054,1118811,687633,1297437,3112704,125,44.98,0.01,0.23
242,47,12639102,82269,0,0,4455926,3435459.4,73,-18.82,0.08,3.51
248,47,28583244,50032308,71041717,39172778,38590960,45484201.4,90,6.19,0.07,3.03
277,47,0,105000,167450,537650,39040,169828,117,NA,0,0.01
254,47,0,0,0,0,78492,15698.4,170,NA,0,0.04
251,47,2202170,3000933,2659748,5270745,3086941,3244107.4,134,6.99,0.01,0.29
112,122,0,9279009,12560031,12307501,16686346,10166577.4,99,NA,0.05,1.13
273,122,0,1344646,4552370,3921715,1106111,2184968.4,137,NA,0,0.08
288,122,0,12070,33993,78445,71917,39285,102,NA,0,0.03
258,122,0,1236811,2034311,2581104,2817967,1734038.6,112,NA,0.03,0.6
242,122,0,156438,238236,281091,319447,199042.4,113,NA,0.01,0.13
264,122,0,3414,68712,0,10749,16575,116,NA,0,0.02
246,122,0,71959,197756,981062,121266,274408.6,120,NA,0,0.06
263,122,0,385920,666175,696851,784446,506678.4,117,NA,0.01,0.19
286,122,0,16330372,30583268,6783954,993046,10938128,147,NA,0.01,0.14
251,122,0,2169923,3410532,5327242,5312863,3244112,113,NA,0.01,0.26
277,122,0,11392127,15818467,15937221,13996511,11428865.2,44,NA,0.07,1.62
281,122,0,1307601,2241321,4139556,3255878,2188871.2,101,NA,0.01,0.3
239,122,0,1327580,844975,1984725,1099281,1051312.2,120,NA,0.01,0.16
261,122,0,593795,2273819,564193,4029397,1492240.8,83,NA,0.03,0.57
279,122,0,7257679,1271756,1633139,1355082,2303531.2,125,NA,0.01,0.12
248,122,0,108393417,179231254,206447996,166496659,132113865.2,51,NA,0.31,6.79
244,122,0,121443,230008,166540,269483,157494.8,139,NA,0,0.09
285,122,0,0,7839474,215930,8567895,3324659.8,22,NA,0.6,13.42
289,122,0,2035105,1346807,1818594,1378831,1315867.4,125,NA,0.01,0.2
256,122,0,16974776,24851168,34896139,19766756,19297767.8,90,NA,0.03,0.71
272,122,0,0,0,11895,5200,3419,139,NA,0,0.01
266,122,0,385998,594990,1110836,115105,441385.8,128,NA,0,0.04
269,122,0,30067,91230,67144,53824,48453,113,NA,0,0.03
265,122,0,75567,156886,101653,210359,108893,125,NA,0,0.08
250,122,0,25030,21310,5484,4099,11184.6,160,NA,0,0
276,122,0,4758360,10678768,20213732,26543763,12438924.6,74,NA,0.09,2.1
262,122,0,8181253,1489765,10568277,18164734,7680805.8,54,NA,0.19,4.2
247,122,0,42417,74855,2969,511719,126392,58,NA,0.05,1.22
270,122,0,10417574,13289842,12982763,41563761,15650788,78,NA,0.06,1.29
280,122,0,12281,0,0,625732,127602.6,66,NA,0.07,1.58
260,122,0,3618874,5905554,3347877,2851552,3144771.4,98,NA,0.01,0.21
253,122,0,243674,636900,61462,41982,196803.6,168,NA,0,0.01
254,122,0,687502,575797,398430,328488,398043.4,142,NA,0,0.08
284,122,0,41086,18032,72090,26247,31491,125,NA,0,0.03
243,122,0,7173019,14664007,12404424,14613804,9771050.8,118,NA,0.01,0.21
278,122,0,330127,5740,52297,72604,92153.6,120,NA,0,0.09
271,122,0,1637800,3962792,2980437,3602839,2436773.6,113,NA,0.01,0.33
245,122,0,1049454,2686059,477586,1704055,1183430.8,98,NA,0.01,0.27
287,122,0,178759,371491,385909,509297,289091.2,143,NA,0,0.01
267,122,0,47732,856448,316206,298576,303792.4,102,NA,0.01,0.18
257,122,0,2775,0,45327,42588,18138,144,NA,0,0.08
274,122,0,11100,141375,167621,340063,132031.8,121,NA,0.01,0.17
252,122,0,790796,1414914,1465326,1790493,1092305.8,99,NA,0.01,0.17
275,122,0,15479,660871,645299,78254,279980.6,160,NA,0,0.01
282,122,0,224436530,234034796,123547971,65903460,129584551.4,104,NA,0.03,0.57
255,122,0,691881,2764283,4363532,2097278,1983394.8,93,NA,0.01,0.23
241,122,0,25709,20850,64355,80020,38186.8,169,NA,0,0.01
283,122,0,278737,117022,160202,323329,175858,129,NA,0,0.07
259,122,0,1301997,1945703,1662771,1334410,1248976.2,112,NA,0.01,0.13
268,122,0,10763819,63501851,151074593,143780154,73824083.4,35,NA,0.48,10.77
240,122,0,25370,8347,0,88956,24534.6,75,NA,0,0.04
259,89,1738911,1722774,1423939,1239542,1305445,1486122.2,114,-5.57,0.01,0.48
246,89,81630,3566421,186344,34602,869362,947671.8,82,60.5,0.02,1.64
269,89,34119,0,0,4375,8950,9488.8,141,-23.48,0,0.02
251,89,2409739,2691211,3725795,1754921,4627741,3041881.4,117,13.94,0.01,0.88
262,89,175141,303074,551394,452443,427910,381992.4,114,19.56,0,0.39
260,89,630691,1545839,1616814,377889,589150,952076.6,143,-1.35,0,0.17
271,89,8675164,1543728,1033659,940027,849109,2608337.4,159,-37.17,0,0.3
289,89,1539943,2238365,1610278,1174723,809920,1474645.8,139,-12.06,0.01,0.46
244,89,308665,275504,375478,391310,121108,294413,159,-17.07,0,0.16
253,89,282236,238574,582345,101734,82173,257412.4,157,-21.87,0,0.07
257,89,63491,34822,35280,89301,40448,52668.4,145,-8.62,0,0.29
252,89,909712,643140,288133,239791,190225,454200.2,151,-26.87,0,0.07
284,89,8433,7917,24177,77412,9709,25529.6,140,2.86,0,0.04
258,89,518637,1238926,312223,347457,1347890,753026.6,127,21.05,0.01,1.14
282,89,6760383,13070557,35183609,66837051,62690806,36908481.2,106,56.12,0.02,2.14
286,89,1206907,1164894,742483,829251,2665680,1321843,128,17.17,0.02,1.5
288,89,0,2905,17163,44800,2980,13569.6,144,NA,0,0
239,89,285632,884804,2457491,102831,4144528,1575057.2,87,70.74,0.03,2.4
268,89,4139821,3717387,2311048,18709057,2796254,6334713.4,130,-7.55,0.01,0.83
264,89,40676,18092,60895,21181,16125,31393.8,113,-16.89,0,0.14
255,89,370763,216229,285410,156718,310416,267907.2,137,-3.49,0,0.14
250,89,972080,226703,34720,42168,19880,259110.2,142,-54.07,0,0.05
265,89,261166,26500,442450,18666,71144,163985.2,145,-22.9,0,0.11
283,89,556652,467721,387132,513305,428151,470592.2,122,-5.11,0,0.35
243,89,15206917,15538115,17518300,13744996,12033577,14808381,125,-4.57,0.01,0.68
270,89,10106811,8312206,6132262,4466811,9772924,7758202.8,113,-0.67,0.01,1.2
248,89,41447512,3681072,3977134,5657368,12144309,13381479,116,-21.77,0.02,1.96
247,89,0,87438,42036,27316,12796,33917.2,164,NA,0,0.12
254,89,151680,341703,16959733,235160,2580566,4053768.4,92,76.26,0.03,2.39
256,89,230795,3558684,739056,3798978,4466697,2558842,117,80.86,0.01,0.64
261,89,3205230,3940936,3633308,836563,3908543,3104916,86,4.05,0.02,2.17
276,89,1760010,2403758,1445206,1814563,2135235,1911754.4,131,3.94,0.01,0.67
287,89,3035254,2986365,1156599,1167077,828414,1834741.8,129,-22.87,0,0.09
274,89,919445,249486,196510,122373,122658,322094.4,133,-33.16,0,0.24
273,89,1925421,2123160,2254595,1925180,2570589,2159789,115,5.95,0.01,0.72
278,89,62670,8400,370127,124194,4935,114065.2,159,-39.85,0,0.02
112,89,5881259,6656388,45887664,3436076,5248767,13422030.8,133,-2.25,0.02,1.4
267,89,3444998,140724,129772,129543,217489,812505.2,107,-42.45,0.01,0.52
242,89,69235,85192,46793,137434,128734,93477.6,127,13.21,0,0.21
281,89,4575643,3072401,2763080,2735927,3006293,3230668.8,103,-8.06,0.01,1.11
263,89,746925,554580,992538,455384,299429,609771.2,139,-16.71,0,0.28
275,89,2491127,275621,391672,72480,182085,682597,141,-40.74,0,0.09
245,89,536445,311058,294168,438563,158264,347699.6,148,-21.66,0,0.1
240,89,0,0,0,6135,9360,3099,100,NA,0,0.02
266,89,79165,88640,70564,34383,81499,70850.2,138,0.58,0,0.11
279,89,640505,1663147,698741,1600054,805502,1081589.8,137,4.69,0,0.27
241,89,710483,828906,613706,923162,702413,755734,123,-0.23,0,0.32
269,58,13692548,16320102,8638196,6624976,9992676,11053699.6,25,-6.11,0.28,1.63
276,58,44151575,53815708,91834300,62899056,61886957,62917519.2,55,6.99,0.22,1.28
253,58,14859270,22146474,25673940,22264242,16338628,20256510.8,55,1.92,0.16,0.91
273,58,44603992,47411838,51731933,54546368,47244449,49107716,55,1.16,0.15,0.88
239,58,16042796,25219917,20123761,13116303,21991303,19298816,56,6.51,0.14,0.84
257,58,692674,810108,5624837,7517650,8420002,4613054.2,27,64.8,0.68,3.98
245,58,13516655,16755708,19035594,27031672,25359085,20339742.8,42,13.41,0.18,1.05
290,58,55314,117160,1358890,41095,132073,340906.4,62,19.01,0.01,0.07
248,58,45828683,58756386,48245342,70652342,68763944,58449339.4,77,8.45,0.13,0.73
112,58,37860593,38845512,35087238,87638191,40800528,48046412.4,83,1.51,0.12,0.72
244,58,3908200,7133581,6156128,15498499,17140483,9967378.2,43,34.4,0.26,1.49
268,58,25839311,23862711,38355090,45324889,46424697,35961339.6,64,12.43,0.16,0.91
